browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration
Chrome,84.0.4147.105,2560,1440,MacOS,en-US,2020-08-07_20:27:19,2020-08-07_13:27:19,https://www.testable.org/experiment/4629/283054/start,0.86

rowNo,type,stim1,stimFormat,ITI,responseType,responseOptions,trialText,object_shown,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,responseCode
5,test,smartphone_1,.png,"800",slider,0_10_1,How typical is this orientation?,smartphone,801,48,"16.68",198144,"1",3226,1
6,test,smartphone_2,.png,"800",slider,0_10_1,How typical is this orientation?,smartphone,801,48,"16.68",202374,"10",3412,10
7,test,smartphone_3,.png,"800",slider,0_10_1,How typical is this orientation?,smartphone,801,48,"16.68",208326,"5",5128,5
8,test,smartphone_4,.png,"800",slider,0_10_1,How typical is this orientation?,smartphone,801,48,"16.68",211972,"10",2836,10
9,test,smartphone_5,.png,"800",slider,0_10_1,How typical is this orientation?,smartphone,801,48,"16.68",215864,"2",3074,2
10,test,cow_1,.png,"800",slider,0_10_1,How typical is this orientation?,cow,801,48,"16.68",221719,"5",5045,5
11,test,cow_2,.png,"800",slider,0_10_1,How typical is this orientation?,cow,801,48,"16.68",224956,"10",2426,10
12,test,cow_3,.png,"800",slider,0_10_1,How typical is this orientation?,cow,801,48,"16.68",229833,"6",4067,6
13,test,cow_4,.png,"800",slider,0_10_1,How typical is this orientation?,cow,801,48,"16.68",236244,"8",5592,8
14,test,cow_5,.png,"800",slider,0_10_1,How typical is this orientation?,cow,801,48,"16.68",239687,"9",2630,9
15,test,horse_1,.png,"800",slider,0_10_1,How typical is this orientation?,horse,801,48,"16.68",242731,"10",2222,10
16,test,horse_2,.png,"800",slider,0_10_1,How typical is this orientation?,horse,801,48,"16.68",246575,"10",3027,10
17,test,horse_3,.png,"800",slider,0_10_1,How typical is this orientation?,horse,801,48,"16.68",251456,"8",4057,8
18,test,horse_4,.png,"800",slider,0_10_1,How typical is this orientation?,horse,801,48,"16.68",255684,"8",3414,8
19,test,horse_5,.png,"800",slider,0_10_1,How typical is this orientation?,horse,801,48,"16.68",258432,"5",1942,5
20,test,camera_1,.png,"800",slider,0_10_1,How typical is this orientation?,camera,801,48,"16.68",261812,"7",2570,7
21,test,camera_2,.png,"800",slider,0_10_1,How typical is this orientation?,camera,801,48,"16.68",265258,"7",2628,7
22,test,camera_3,.png,"800",slider,0_10_1,How typical is this orientation?,camera,801,48,"16.68",268374,"3",2309,3
23,test,camera_4,.png,"800",slider,0_10_1,How typical is this orientation?,camera,801,48,"16.68",272065,"9",2883,9
24,test,camera_5,.png,"800",slider,0_10_1,How typical is this orientation?,camera,801,48,"16.68",276328,"7",3441,7
25,test,rat_1,.png,"800",slider,0_10_1,How typical is this orientation?,rat,801,48,"16.68",279636,"10",2495,10
26,test,rat_2,.png,"800",slider,0_10_1,How typical is this orientation?,rat,801,48,"16.68",282775,"10",2333,10
27,test,rat_3,.png,"800",slider,0_10_1,How typical is this orientation?,rat,801,48,"16.68",286774,"3",3179,3
28,test,rat_4,.png,"800",slider,0_10_1,How typical is this orientation?,rat,801,48,"16.68",292230,"2",4648,2
29,test,rat_5,.png,"800",slider,0_10_1,How typical is this orientation?,rat,801,48,"16.68",295274,"2",2222,2
30,test,cat_1,.png,"800",slider,0_10_1,How typical is this orientation?,cat,801,48,"16.68",298334,"10",2245,10
31,test,cat_2,.png,"800",slider,0_10_1,How typical is this orientation?,cat,801,48,"16.68",301313,"10",2170,10
32,test,cat_3,.png,"800",slider,0_10_1,How typical is this orientation?,cat,801,48,"16.68",309252,"9",7126,9
33,test,cat_4,.png,"800",slider,0_10_1,How typical is this orientation?,cat,801,48,"16.68",319575,"4",9509,4
34,test,cat_5,.png,"800",slider,0_10_1,How typical is this orientation?,cat,801,48,"16.68",326168,"7",5776,7
35,test,car_1,.png,"800",slider,0_10_1,How typical is this orientation?,car,801,48,"16.68",329324,"2",2342,2
36,test,car_2,.png,"800",slider,0_10_1,How typical is this orientation?,car,801,48,"16.68",335243,"5",5110,5
37,test,car_3,.png,"800",slider,0_10_1,How typical is this orientation?,car,801,48,"16.68",338968,"9",2913,9
38,test,car_4,.png,"800",slider,0_10_1,How typical is this orientation?,car,801,48,"16.68",344311,"10",4520,10
39,test,car_5,.png,"800",slider,0_10_1,How typical is this orientation?,car,801,48,"16.68",347755,"8",2626,8
40,test,rabbit_1,.png,"800",slider,0_10_1,How typical is this orientation?,rabbit,801,48,"16.68",353315,"8",4749,8
41,test,rabbit_2,.png,"800",slider,0_10_1,How typical is this orientation?,rabbit,801,48,"16.68",357913,"10",3777,10
42,test,rabbit_3,.png,"800",slider,0_10_1,How typical is this orientation?,rabbit,801,48,"16.68",362071,"10",3347,10
43,test,rabbit_4,.png,"800",slider,0_10_1,How typical is this orientation?,rabbit,801,48,"16.68",368960,"9",6067,9
44,test,rabbit_5,.png,"800",slider,0_10_1,How typical is this orientation?,rabbit,799,48,"16.64",373863,"10",4082,10
45,test,saw_1,.png,"800",slider,0_10_1,How typical is this orientation?,saw,801,48,"16.68",378123,"10",3439,10
46,test,saw_2,.png,"800",slider,0_10_1,How typical is this orientation?,saw,801,48,"16.68",382602,"6",3663,6
47,test,saw_3,.png,"800",slider,0_10_1,How typical is this orientation?,saw,801,48,"16.68",386031,"9",2606,9
48,test,saw_4,.png,"800",slider,0_10_1,How typical is this orientation?,saw,801,48,"16.68",389220,"6",2377,6
49,test,saw_5,.png,"800",slider,0_10_1,How typical is this orientation?,saw,799,48,"16.64",392359,"10",2329,10
50,test,frog_1,.png,"800",slider,0_10_1,How typical is this orientation?,frog,801,48,"16.68",397894,"10",4727,10
51,test,frog_2,.png,"800",slider,0_10_1,How typical is this orientation?,frog,801,48,"16.68",401555,"10",2852,10
52,test,frog_3,.png,"800",slider,0_10_1,How typical is this orientation?,frog,801,48,"16.68",405223,"10",2849,10
53,test,frog_4,.png,"800",slider,0_10_1,How typical is this orientation?,frog,801,48,"16.68",408540,"6",2495,6
54,test,frog_5,.png,"800",slider,0_10_1,How typical is this orientation?,frog,801,48,"16.68",412082,"10",2736,10
55,test,boat_1,.png,"800",slider,0_10_1,How typical is this orientation?,boat,801,48,"16.68",416503,"10",3605,10
56,test,boat_2,.png,"800",slider,0_10_1,How typical is this orientation?,boat,801,48,"16.68",420783,"10",3463,10
57,test,boat_3,.png,"800",slider,0_10_1,How typical is this orientation?,boat,801,48,"16.68",423747,"10",2157,10
58,test,boat_4,.png,"800",slider,0_10_1,How typical is this orientation?,boat,801,48,"16.68",427970,"6",3412,6
59,test,boat_5,.png,"800",slider,0_10_1,How typical is this orientation?,boat,801,48,"16.68",431406,"8",2626,8
60,test,whale_1,.png,"800",slider,0_10_1,How typical is this orientation?,whale,801,48,"16.68",437101,"7",4884,7
61,test,whale_2,.png,"800",slider,0_10_1,How typical is this orientation?,whale,801,48,"16.68",441739,"10",3819,10
62,test,whale_3,.png,"800",slider,0_10_1,How typical is this orientation?,whale,801,48,"16.68",446839,"4",4281,4
63,test,whale_4,.png,"800",slider,0_10_1,How typical is this orientation?,whale,801,48,"16.68",449725,"4",2063,4
64,test,whale_5,.png,"800",slider,0_10_1,How typical is this orientation?,whale,801,48,"16.68",453049,"10",2502,10
65,test,bear_1,.png,"800",slider,0_10_1,How typical is this orientation?,bear,801,48,"16.68",459531,"10",5666,10
66,test,bear_2,.png,"800",slider,0_10_1,How typical is this orientation?,bear,801,48,"16.68",464680,"7",4341,7
67,test,bear_3,.png,"800",slider,0_10_1,How typical is this orientation?,bear,801,48,"16.68",468157,"4",2666,4
68,test,bear_4,.png,"800",slider,0_10_1,How typical is this orientation?,bear,801,48,"16.68",471041,"9",2063,9
69,test,bear_5,.png,"800",slider,0_10_1,How typical is this orientation?,bear,801,48,"16.68",474037,"6",2173,6
70,test,fish_1,.png,"800",slider,0_10_1,How typical is this orientation?,fish,801,48,"16.68",476825,"10",1975,10
71,test,fish_2,.png,"800",slider,0_10_1,How typical is this orientation?,fish,801,48,"16.68",482008,"7",4373,7
72,test,fish_3,.png,"800",slider,0_10_1,How typical is this orientation?,fish,801,48,"16.68",486046,"10",3221,10
73,test,fish_4,.png,"800",slider,0_10_1,How typical is this orientation?,fish,801,48,"16.68",488722,"10",1865,10
74,test,fish_5,.png,"800",slider,0_10_1,How typical is this orientation?,fish,801,48,"16.68",491533,"10",1988,10
75,test,elephant_1,.png,"800",slider,0_10_1,How typical is this orientation?,elephant,801,48,"16.68",494302,"10",1955,10
76,test,elephant_2,.png,"800",slider,0_10_1,How typical is this orientation?,elephant,801,48,"16.68",498919,"10",3803,10
77,test,elephant_3,.png,"800",slider,0_10_1,How typical is this orientation?,elephant,801,48,"16.68",501796,"10",2058,10
78,test,elephant_4,.png,"800",slider,0_10_1,How typical is this orientation?,elephant,801,48,"16.68",504704,"6",2097,6
79,test,elephant_5,.png,"800",slider,0_10_1,How typical is this orientation?,elephant,801,48,"16.68",507347,"10",1822,10
80,test,bell_1,.png,"800",slider,0_10_1,How typical is this orientation?,bell,801,48,"16.68",514077,"1",5915,1
81,test,bell_2,.png,"800",slider,0_10_1,How typical is this orientation?,bell,801,48,"16.68",517441,"4",2542,4
82,test,bell_3,.png,"800",slider,0_10_1,How typical is this orientation?,bell,801,48,"16.68",520932,"9",2679,9
83,test,bell_4,.png,"800",slider,0_10_1,How typical is this orientation?,bell,801,48,"16.68",524412,"9",2655,9
84,test,bell_5,.png,"800",slider,0_10_1,How typical is this orientation?,bell,801,48,"16.68",527216,"9",1992,9
85,test,wolf_1,.png,"800",slider,0_10_1,How typical is this orientation?,wolf,801,48,"16.68",533167,"10",5143,10
86,test,wolf_2,.png,"800",slider,0_10_1,How typical is this orientation?,wolf,801,48,"16.68",536323,"7",2341,7
87,test,wolf_3,.png,"800",slider,0_10_1,How typical is this orientation?,wolf,801,48,"16.68",539336,"7",2203,7
88,test,wolf_4,.png,"800",slider,0_10_1,How typical is this orientation?,wolf,801,48,"16.68",542412,"10",2258,10
89,test,wolf_5,.png,"800",slider,0_10_1,How typical is this orientation?,wolf,801,48,"16.68",546320,"4",3097,4
90,test,tape_1,.png,"800",slider,0_10_1,How typical is this orientation?,tape,801,48,"16.68",549652,"10",2511,10
91,test,tape_2,.png,"800",slider,0_10_1,How typical is this orientation?,tape,801,48,"16.68",553401,"10",2941,10
92,test,tape_3,.png,"800",slider,0_10_1,How typical is this orientation?,tape,801,48,"16.68",558055,"6",3841,6
93,test,tape_4,.png,"800",slider,0_10_1,How typical is this orientation?,tape,801,48,"16.68",583266,"10",24397,10
94,test,tape_5,.png,"800",slider,0_10_1,How typical is this orientation?,tape,801,48,"16.68",588145,"4",4058,4
95,test,butterfly_1,.png,"800",slider,0_10_1,How typical is this orientation?,butterfly,801,48,"16.68",592584,"10",3624,10
96,test,butterfly_2,.png,"800",slider,0_10_1,How typical is this orientation?,butterfly,801,48,"16.68",595755,"10",2361,10
97,test,butterfly_3,.png,"800",slider,0_10_1,How typical is this orientation?,butterfly,801,48,"16.68",604698,"9",8133,9
98,test,butterfly_4,.png,"800",slider,0_10_1,How typical is this orientation?,butterfly,801,48,"16.68",626620,"10",21116,10
99,test,butterfly_5,.png,"800",slider,0_10_1,How typical is this orientation?,butterfly,801,48,"16.68",630112,"5",2672,5
100,test,piano_1,.png,"800",slider,0_10_1,How typical is this orientation?,piano,801,48,"16.68",633355,"10",2429,10
101,test,piano_2,.png,"800",slider,0_10_1,How typical is this orientation?,piano,801,48,"16.68",635710,"10",1549,10
102,test,piano_3,.png,"800",slider,0_10_1,How typical is this orientation?,piano,801,48,"16.68",639989,"10",3457,10
