subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration,id,age,sex,handedness,fps_start,fps_M,fps_SD
"1",Chrome,84.0.4147.125,1366,768,Windows,zh-CN,2020-09-10_16:52:47,2020-09-11_00:52:47,https://www.testable.org/experiment/4629/578421/start,0.77,"521244","19",female,right-handed,"60.05","59.57","0.32"

rowNo,subjectGroup,type,block,stim1,stimFormat,audio,random,presTime,ITI,responseType,responseOptions,head,button1,button2,button3,button4,button5,required,condition,animacy,image_shown,seperator,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode
2,"0",form,"","","","","","","",dropdown,American Indian or Alaska Native;Asian;Black or African American;Native Hawaiian or Other Pacific Islander; White;More than one;Not Listed,With which race do you identify?,"","","","","","1","","","","1",,"","","","","",62326,Asian,4100,"2"
3,"0",form,"","","","","","","",dropdown,yes;no,Do you identify as Hispanic,"","","","","","1","","","","1",,"","","","","",62326,no,4100,"2"
30,"1",test,encoding,cymbal_ride_2,.png,gooseA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,cymbal_ride,"",701,0,0,"400","24","16.67",104290,"2",1580,""
9,"1",test,encoding,tiger_1,.png,tigerA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,tiger,"",700,42,"16.68","400","24","16.68",110196,"1",1182,""
26,"1",test,encoding,bird_1,.png,hammerA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,bird,"",700,42,"16.66","400","24","16.68",112326,"1",1074,""
43,"1",test,encoding,motorcycle_1,.png,noise8.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,motorcycle,"",700,42,"16.68","400","24","16.69",122035,"2",3842,""
12,"1",test,encoding,pig_3,.png,pigA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,pig,"",700,42,"16.67","400","24","16.67",124931,"1",1199,""
28,"1",test,encoding,bat_1,.png,drumA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,bat,"",700,42,"16.67","400","24","16.68",128087,"1",1378,""
48,"1",test,encoding,drum_2,.png,noise13.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,drum,"",700,42,"16.66","400","24","16.67",130319,"2",954,""
24,"1",test,encoding,chicken_1,.png,keyboardA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,chicken,"",699,42,"16.67","400","24","16.68",132848,"1",1024,""
