subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration,id,age,sex,handedness,fps_start,fps_M,fps_SD
"1",Chrome,85.0.4183.121,1920,1080,Windows,en-US,2020-10-05_18:10:22,2020-10-05_11:10:22,https://www.testable.org/experiment/4629/578421/start,0.6,"916908199","20",male,right-handed,"59.95","59.51","0.22"

rowNo,subjectGroup,type,block,stim1,stimFormat,audio,random,presTime,ITI,responseType,responseOptions,head,button1,button2,button3,button4,button5,required,condition,animacy,image_shown,seperator,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode
2,"",form,"","","","","","","",dropdown,American Indian or Alaska Native;Asian;Black or African American;Native Hawaiian or Other Pacific Islander; White;More than one;Not Listed,With which race do you identify?,"","","","","","1","","","","1",,"","","","","",74297,Asian,6940,"2"
3,"",form,"","","","","","","",dropdown,yes;no,Do you identify as Hispanic,"","","","","","1","","","","1",,"","","","","",74297,no,6940,"2"
18,"1",test,encoding,smartphone_2,.png,smartphoneA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,smartphone,"",700,0,0,"400","24","16.67",148388,"2",3228,""
17,"1",test,encoding,stapler_1,.png,staplerA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,stapler,"",700,42,"16.67","400","24","16.67",150697,"2",1428,""
19,"1",test,encoding,scissors_1,.png,scissorsA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,scissors,"",700,42,"16.67","400","24","16.67",152869,"2",1267,""
22,"1",test,encoding,crocodile_2,.png,horseA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,crocodile,"",700,42,"16.66","400","24","16.67",154903,"1",1143,""
21,"1",test,encoding,piano_1,.png,pianoA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,piano,"",700,42,"16.67","400","24","16.67",156774,"2",984,""
34,"1",test,encoding,bicycle_1,.png,deerA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,bicycle,"",700,42,"16.67","400","24","16.67",158588,"2",918,""
42,"1",test,encoding,deer_4,.png,noise7.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,animate,deer,"",700,42,"16.66","400","24","16.67",160528,"1",1064,""
45,"1",test,encoding,jet_1,.png,noise10.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,jet,"",700,42,"16.66","400","24","16.67",162236,"2",810,""
41,"1",test,encoding,dog_2,.png,noise6.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,animate,dog,"",700,42,"16.67","400","24","16.67",163938,"1",815,""
20,"1",test,encoding,saw_1,.png,sawA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,saw,"",700,42,"16.67","400","24","16.67",165587,"2",765,""
12,"1",test,encoding,pig_3,.png,pigA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,pig,"",700,42,"16.67","400","24","16.67",167332,"1",860,""
