subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration,id,age,sex,handedness,fps_start,fps_M,fps_SD
"3",Safari,12.1.2,1280,800,MacOS,en-US,2020-09-06_06:50:15,2020-09-05_23:50:15,https://www.testable.org/experiment/4629/578421/start,1,"912750626","23",female,right-handed,"59.88","59.23","1.63"

rowNo,subjectGroup,type,block,stim1,stimFormat,audio,random,presTime,ITI,responseType,responseOptions,head,button1,button2,button3,button4,button5,required,condition,animacy,image_shown,seperator,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode
2,"0",form,"","","","","","","",dropdown,American Indian or Alaska Native;Asian;Black or African American;Native Hawaiian or Other Pacific Islander; White;More than one;Not Listed,With which race do you identify?,"","","","","","1","","","","1",,"","","","","",175440,Asian,16921,"2"
3,"0",form,"","","","","","","",dropdown,yes;no,Do you identify as Hispanic,"","","","","","1","","","","1",,"","","","","",175440,no,16921,"2"
98,"3",test,encoding,snake_1,.png,noise3.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,animate,snake,"",699,0,0,"397","24","16.54",228096,"1",1481,""
128,"3",test,encoding,leopard_1,.png,noise7.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,animate,leopard,"",697,42,"16.64","398","24","16.58",230052,"1",875,""
114,"3",test,encoding,goat_3,.png,sawA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,goat,"",700,42,"16.60","401","24","16.71",231991,"1",849,""
123,"3",test,encoding,bird_1,.png,birdA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,bird,"",701,42,"16.67","400","24","16.67",233948,"1",864,""
94,"3",test,encoding,smartphone_2,.png,noise11.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,smartphone,"",699,42,"16.69","401","24","16.71",236102,"2",1080,""
131,"3",test,encoding,bear_1,.png,bearA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,bear,"",700,42,"16.64","400","24","16.67",238184,"1",983,""
122,"3",test,encoding,goose_1,.png,staplerA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,goose,"",700,42,"16.67","407","24","16.96",240219,"1",940,""
132,"3",test,encoding,cat_1,.png,catA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,cat,"",701,42,"16.67","400","24","16.67",242038,"1",741,""
120,"3",test,encoding,drill_1,.png,penguinA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,drill,"",700,42,"16.69","400","24","16.67",244185,"2",1073,""
112,"3",test,encoding,horse_1,.png,scissorsA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,horse,"",701,41,"17.07","401","24","16.71",246046,"1",776,""
102,"3",test,encoding,chicken_1,.png,chickenA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,chicken,"",701,42,"16.69","400","24","16.67",248048,"1",912,""
110,"3",test,encoding,tiger_1,.png,noise2.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,animate,tiger,"",700,41,"17.10","397","24","16.54",249861,"1",719,""
118,"3",test,encoding,deer_4,.png,washerA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,deer,"",701,42,"16.67","401","24","16.71",251608,"1",672,""
103,"3",test,encoding,car_3,.png,carA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,car,"",701,42,"16.69","396","24","16.50",253747,"2",1053,""
117,"3",test,encoding,bat_1,.png,batA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,bat,"",701,41,"17.10","401","24","16.71",255686,"1",846,""
129,"3",test,encoding,boat_1,.png,boatA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,boat,"",701,42,"16.69","400","24","16.67",258172,"2",1407,""
105,"3",test,encoding,scissors_1,.png,noise12.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,scissors,"",700,42,"16.69","399","24","16.63",260058,"2",806,""
104,"3",test,encoding,frog_1,.png,smartphoneA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,frog,"",701,42,"16.67","401","24","16.71",262077,"1",930,""
96,"3",test,encoding,wolf_1,.png,noise1.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,animate,wolf,"",701,42,"16.69","399","24","16.63",263872,"1",703,""
97,"3",test,encoding,drum_2,.png,leopardA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,drum,"",700,42,"16.69","394","24","16.42",266051,"2",1091,""
92,"3",test,encoding,hammer_3,.png,ratA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,hammer,"",701,40,"17.50","396","24","16.50",268102,"2",962,""
108,"3",test,encoding,cow_2,.png,cowA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,cow,"",700,42,"16.69","394","24","16.42",270144,"1",949,""
115,"3",test,encoding,dog_2,.png,trainA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,dog,"",701,42,"16.67","399","24","16.63",271946,"1",723,""
107,"3",test,encoding,pig_3,.png,noise5.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,animate,pig,"",701,42,"16.69","398","24","16.58",274182,"1",1139,""
125,"3",test,encoding,bell_5,.png,bellA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,bell,"",700,41,"17.10","401","24","16.71",276021,"2",754,""
100,"3",test,encoding,cymbal_ride_2,.png,cymbal_rideA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,cymbal_ride,"",700,42,"16.67","400","24","16.67",278232,"2",1132,""
127,"3",test,encoding,camera_1,.png,cameraA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,camera,"",701,41,"17.07","400","24","16.67",279991,"2",666,""
124,"3",test,encoding,elephant_1,.png,hammerA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,elephant,"",702,42,"16.69","400","24","16.67",282004,"1",926,""
106,"3",test,encoding,washer_2,.png,noise8.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,washer,"",700,41,"17.12","401","24","16.71",283980,"2",886,""
116,"3",test,encoding,penguin_1,.png,noise6.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,animate,penguin,"",700,42,"16.67","400","24","16.67",286024,"1",955,""
99,"3",test,encoding,train_1,.png,noise9.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,train,"",699,42,"16.67","400","24","16.67",287968,"2",858,""
126,"3",test,encoding,keyboard_2,.png,tigerA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,keyboard,"",701,42,"16.64","401","24","16.71",290003,"2",927,""
121,"3",test,encoding,stapler_1,.png,noise10.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,stapler,"",702,42,"16.69","401","24","16.71",291793,"2",711,""
