subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration,id,age,sex,handedness,fps_start,fps_M,fps_SD
"3",Chrome,85.0.4183.83,1440,900,MacOS,en-US,2020-10-07_00:23:14,2020-10-06_17:23:14,https://www.testable.org/experiment/4629/578421/start,0.92,"917399943","19",female,right-handed,"59.99","58.97","1.20"

rowNo,subjectGroup,type,block,stim1,stimFormat,audio,random,presTime,ITI,responseType,responseOptions,head,button1,button2,button3,button4,button5,required,condition,animacy,image_shown,seperator,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode
2,"",form,"","","","","","","",dropdown,American Indian or Alaska Native;Asian;Black or African American;Native Hawaiian or Other Pacific Islander; White;More than one;Not Listed,With which race do you identify?,"","","","","","1","","","","1",,"","","","","",94305,Asian,6862,"2"
3,"",form,"","","","","","","",dropdown,yes;no,Do you identify as Hispanic,"","","","","","1","","","","1",,"","","","","",94305,no,6862,"2"
97,"3",test,encoding,drum_2,.png,leopardA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,drum,"",700,0,0,"401","24","16.70",203745,"2",1989,""
126,"3",test,encoding,keyboard_2,.png,tigerA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,keyboard,"",700,42,"16.67","400","24","16.67",206213,"2",1453,""
92,"3",test,encoding,hammer_3,.png,ratA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,hammer,"",700,42,"16.67","400","24","16.67",208517,"2",1336,""
94,"3",test,encoding,smartphone_2,.png,noise11.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,smartphone,"",700,42,"16.67","400","24","16.67",210663,"2",1128,""
132,"3",test,encoding,cat_1,.png,catA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,cat,"",700,42,"16.67","400","24","16.68",212683,"1",1116,""
99,"3",test,encoding,train_1,.png,noise9.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,train,"",700,42,"16.67","400","24","16.67",215021,"2",1286,""
111,"3",test,encoding,door_1,.png,doorA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,door,"",700,42,"16.67","400","24","16.67",216938,"2",947,""
98,"3",test,encoding,snake_1,.png,noise3.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,animate,snake,"",700,42,"16.67","400","24","16.67",219084,"1",1124,""
104,"3",test,encoding,frog_1,.png,smartphoneA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,frog,"",700,42,"16.67","400","24","16.67",220938,"1",852,""
93,"3",test,encoding,piano_1,.png,noise14.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,piano,"",700,42,"16.67","400","24","16.68",223130,"2",1272,""
131,"3",test,encoding,bear_1,.png,bearA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,bear,"",700,42,"16.67","400","24","16.67",225318,"1",1200,""
124,"3",test,encoding,elephant_1,.png,hammerA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,elephant,"",700,42,"16.67","400","24","16.67",227464,"1",1133,""
121,"3",test,encoding,stapler_1,.png,noise10.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,stapler,"",700,42,"16.67","400","24","16.67",229489,"2",1121,""
129,"3",test,encoding,boat_1,.png,boatA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,boat,"",700,42,"16.67","400","24","16.67",231787,"2",1255,""
110,"3",test,encoding,tiger_1,.png,noise2.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,animate,tiger,"",700,42,"16.67","400","24","16.67",234057,"1",1071,""
106,"3",test,encoding,washer_2,.png,noise8.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,washer,"",700,42,"16.67","400","24","16.67",236106,"2",965,""
127,"3",test,encoding,camera_1,.png,cameraA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,camera,"",700,42,"16.67","400","24","16.67",238174,"2",990,""
101,"3",test,encoding,rat_1,.png,noise4.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,animate,rat,"",700,42,"16.67","400","24","16.67",240159,"1",1046,""
120,"3",test,encoding,drill_1,.png,penguinA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,drill,"",700,42,"16.67","400","24","16.67",242213,"2",1034,""
130,"3",test,encoding,crocodile_2,.png,crocodileA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,crocodile,"",700,42,"16.67","400","24","16.67",244256,"1",1031,""
114,"3",test,encoding,goat_3,.png,sawA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,goat,"",700,42,"16.67","400","24","16.67",246469,"1",1094,""
125,"3",test,encoding,bell_5,.png,bellA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,bell,"",700,42,"16.67","400","24","16.67",248655,"2",1130,""
102,"3",test,encoding,chicken_1,.png,chickenA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,chicken,"",700,42,"16.67","400","24","16.67",250687,"1",1008,""
115,"3",test,encoding,dog_2,.png,trainA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,dog,"",700,42,"16.67","400","24","16.67",252831,"1",1209,""
133,"3",test,encoding,saw_1,.png,noise13.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,saw,"",700,42,"16.67","400","24","16.67",255331,"2",1455,""
118,"3",test,encoding,deer_4,.png,washerA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,deer,"",700,42,"16.67","400","24","16.67",257224,"1",987,""
105,"3",test,encoding,scissors_1,.png,noise12.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,scissors,"",700,42,"16.67","400","24","16.67",259083,"2",906,""
128,"3",test,encoding,leopard_1,.png,noise7.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,animate,leopard,"",700,42,"16.67","400","24","16.67",260947,"1",888,""
103,"3",test,encoding,car_3,.png,carA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,car,"",700,42,"16.67","400","24","16.67",262786,"2",942,""
123,"3",test,encoding,bird_1,.png,birdA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,bird,"",700,42,"16.67","400","24","16.67",264597,"1",789,""
117,"3",test,encoding,bat_1,.png,batA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,bat,"",700,42,"16.67","400","24","16.67",266230,"1",727,""
95,"3",test,encoding,motorcycle_1,.png,wolfA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,motorcycle,"",700,42,"16.67","400","24","16.67",268004,"2",884,""
107,"3",test,encoding,pig_3,.png,noise5.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,animate,pig,"",700,42,"16.67","400","24","16.67",269764,"1",864,""
116,"3",test,encoding,penguin_1,.png,noise6.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,animate,penguin,"",700,42,"16.67","400","24","16.67",271767,"1",1113,""
119,"3",test,encoding,bicycle_1,.png,bicycleA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,bicycle,"",700,42,"16.67","400","24","16.67",273738,"2",997,""
96,"3",test,encoding,wolf_1,.png,noise1.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",control,animate,wolf,"",700,42,"16.67","400","24","16.67",275624,"1",858,""
113,"3",test,encoding,guitar_3,.png,snakeA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,guitar,"",700,42,"16.67","400","24","16.67",277650,"2",938,""
112,"3",test,encoding,horse_1,.png,scissorsA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,horse,"",700,42,"16.67","400","24","16.67",279598,"1",838,""
109,"3",test,encoding,jet_1,.png,elephantA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,jet,"",700,42,"16.67","400","24","16.67",281665,"2",1032,""
108,"3",test,encoding,cow_2,.png,cowA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,cow,"",700,42,"16.67","400","24","16.67",283715,"1",907,""
122,"3",test,encoding,goose_1,.png,staplerA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,goose,"",700,42,"16.67","400","24","16.67",285888,"1",1191,""
100,"3",test,encoding,cymbal_ride_2,.png,cymbal_rideA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,cymbal_ride,"",700,42,"16.67","400","24","16.67",287765,"2",924,""
303,"3",test,recognition,drum_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",incongruent,inanimate,drum,"",701,42,"16.67","400","24","16.67",321671,"1",4963,""
274,"3",test,recognition,door_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",congruent,inanimate,door,"",700,42,"16.69","400","24","16.67",323689,"1",1314,""
306,"3",test,recognition,rabbit_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",new,animate,rabbit,"",700,42,"16.67","400","24","16.67",325974,"2",1585,""
301,"3",test,recognition,smartphone_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",control,inanimate,smartphone,"",700,42,"16.67","400","24","16.68",328668,"1",1996,""
258,"3",test,recognition,cat_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",congruent,animate,cat,"",700,42,"16.67","400","24","16.67",332786,"1",3427,""
312,"3",test,recognition,motorcycle_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",incongruent,inanimate,motorcycle,"",700,42,"16.67","400","24","16.67",336368,"1",2892,""
269,"3",test,recognition,tiger_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",control,animate,tiger,"",700,42,"16.67","400","24","16.68",338968,"1",1908,""
300,"3",test,recognition,boat_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",congruent,inanimate,boat,"",700,42,"16.67","400","24","16.67",341322,"1",1662,""
277,"3",test,recognition,hammer_3,.png,"","6","400","700","","","",same,different,nonsense,new,"","",incongruent,inanimate,hammer,"",700,42,"16.67","400","24","16.67",343615,"2",1604,""
256,"3",test,recognition,car_3,.png,"","6","400","700","","","",same,different,nonsense,new,"","",congruent,inanimate,car,"",700,42,"16.67","400","24","16.67",346372,"2",2061,""
263,"3",test,recognition,penguin_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",control,animate,penguin,"",700,42,"16.67","400","24","16.67",348968,"1",1906,""
261,"3",test,recognition,rhino_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",new,animate,rhino,"",700,42,"16.67","400","24","16.67",352585,"2",2922,""
299,"3",test,recognition,bell_5,.png,"","6","400","700","","","",same,different,nonsense,new,"","",congruent,inanimate,bell,"",700,42,"16.67","400","24","16.67",354555,"1",1275,""
273,"3",test,recognition,piano_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",control,inanimate,piano,"",700,42,"16.67","400","24","16.67",358762,"2",3516,""
293,"3",test,recognition,chicken_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",congruent,animate,chicken,"",700,42,"16.67","400","24","16.67",360564,"1",1099,""
284,"3",test,recognition,jet_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",incongruent,inanimate,jet,"",700,42,"16.67","400","24","16.67",363112,"1",1848,""
287,"3",test,recognition,keyboard_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",incongruent,inanimate,keyboard,"",700,42,"16.67","400","24","16.67",366464,"2",2652,""
279,"3",test,recognition,cymbal_ride_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",congruent,inanimate,cymbal_ride,"",700,42,"16.67","400","24","16.67",368402,"1",1238,""
275,"3",test,recognition,elephant_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",incongruent,animate,elephant,"",700,42,"16.67","400","24","16.67",371880,"2",2781,""
313,"3",test,recognition,tape_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",new,inanimate,tape,"",700,42,"16.67","400","24","16.67",375042,"4",2458,""
307,"3",test,recognition,dog_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",incongruent,animate,dog,"",700,42,"16.67","400","24","16.67",377183,"1",1450,""
276,"3",test,recognition,coins_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",new,inanimate,coins,"",700,42,"16.67","400","24","16.67",379365,"4",1481,""
265,"3",test,recognition,whale_5,.png,"","6","400","700","","","",same,different,nonsense,new,"","",new,animate,whale,"",700,42,"16.67","400","24","16.67",384325,"4",4257,""
268,"3",test,recognition,stapler_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",control,inanimate,stapler,"",700,42,"16.67","400","24","16.67",387019,"2",2000,""
255,"3",test,recognition,goose_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",incongruent,animate,goose,"",700,42,"16.67","400","24","16.67",389046,"1",1327,""
257,"3",test,recognition,saw_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",control,inanimate,saw,"",700,42,"16.67","400","24","16.67",391316,"1",1580,""
272,"3",test,recognition,train_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",control,inanimate,train,"",700,42,"16.68","400","24","16.67",393284,"1",1265,""
302,"3",test,recognition,rat_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",control,animate,rat,"",700,42,"16.67","400","24","16.67",395602,"2",1616,""
262,"3",test,recognition,crab_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",new,animate,crab,"",700,42,"16.67","400","24","16.67",397950,"4",1647,""
298,"3",test,recognition,laptop_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",new,inanimate,laptop,"",700,42,"16.67","400","24","16.67",400752,"4",2099,""
297,"3",test,recognition,shark_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",new,animate,shark,"",700,42,"16.67","400","24","16.67",402903,"4",1449,""
271,"3",test,recognition,snake_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",control,animate,snake,"",700,42,"16.67","400","24","16.67",405346,"2",1746,""
264,"3",test,recognition,wrench_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",new,inanimate,wrench,"",700,42,"16.67","400","24","16.67",408146,"4",2109,""
296,"3",test,recognition,pig_3,.png,"","6","400","700","","","",same,different,nonsense,new,"","",control,animate,pig,"",700,42,"16.67","400","24","16.67",410071,"1",1233,""
310,"3",test,recognition,washer_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",control,inanimate,washer,"",700,42,"16.67","400","24","16.67",412471,"1",1698,""
309,"3",test,recognition,guitar_3,.png,"","6","400","700","","","",same,different,nonsense,new,"","",incongruent,inanimate,guitar,"",700,42,"16.67","400","24","16.67",414439,"1",1266,""
285,"3",test,recognition,bat_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",congruent,animate,bat,"",700,42,"16.67","400","24","16.67",416536,"1",1396,""
260,"3",test,recognition,frog_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",incongruent,animate,frog,"",700,42,"16.67","400","24","16.67",418713,"1",1474,""
289,"3",test,recognition,radio_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",new,inanimate,radio,"",700,42,"16.67","400","24","16.67",420959,"4",1552,""
294,"3",test,recognition,butterfly_4,.png,"","6","400","700","","","",same,different,nonsense,new,"","",new,animate,butterfly,"",700,42,"16.67","400","24","16.67",423121,"4",1464,""
295,"3",test,recognition,drill_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",incongruent,inanimate,drill,"",700,42,"16.67","400","24","16.67",426719,"1",2894,""
305,"3",test,recognition,leopard_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",control,animate,leopard,"",700,42,"16.67","400","24","16.67",428950,"4",1542,""
259,"3",test,recognition,goat_3,.png,"","6","400","700","","","",same,different,nonsense,new,"","",incongruent,animate,goat,"",700,42,"16.67","400","24","16.67",431338,"1",1695,""
288,"3",test,recognition,bicycle_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",congruent,inanimate,bicycle,"",700,42,"16.67","400","24","16.67",433838,"4",1812,""
308,"3",test,recognition,salamander_3,.png,"","6","400","700","","","",same,different,nonsense,new,"","",new,animate,salamander,"",700,42,"16.67","400","24","16.67",436114,"4",1587,""
282,"3",test,recognition,bear_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",congruent,animate,bear,"",700,42,"16.67","400","24","16.67",438211,"1",1400,""
270,"3",test,recognition,horse_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",incongruent,animate,horse,"",700,42,"16.67","400","24","16.67",440465,"2",1555,""
278,"3",test,recognition,bird_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",congruent,animate,bird,"",700,42,"16.67","400","24","16.67",442276,"1",1115,""
286,"3",test,recognition,fish_4,.png,"","6","400","700","","","",same,different,nonsense,new,"","",new,animate,fish,"",700,42,"16.67","400","24","16.67",444529,"4",1551,""
304,"3",test,recognition,wolf_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",control,animate,wolf,"",700,42,"16.67","400","24","16.67",446668,"1",1440,""
311,"3",test,recognition,camera_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",congruent,inanimate,camera,"",700,42,"16.67","400","24","16.67",448976,"1",1614,""
290,"3",test,recognition,walkie_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",new,inanimate,walkie,"",700,42,"16.67","400","24","16.67",451510,"4",1831,""
280,"3",test,recognition,crocodile_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",congruent,animate,crocodile,"",700,42,"16.67","400","24","16.67",453577,"1",1365,""
267,"3",test,recognition,watering_can_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",new,inanimate,watering_can,"",700,42,"16.67","400","24","16.67",455990,"4",1712,""
314,"3",test,recognition,camel_3,.png,"","6","400","700","","","",same,different,nonsense,new,"","",new,animate,camel,"",700,42,"16.67","400","24","16.67",458145,"4",1465,""
281,"3",test,recognition,scissors_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",control,inanimate,scissors,"",700,42,"16.67","400","24","16.67",460134,"4",1287,""
292,"3",test,recognition,record_player_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",new,inanimate,record_player,"",700,42,"16.67","400","24","16.67",462314,"4",1483,""
291,"3",test,recognition,bus_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",new,inanimate,bus,"",700,42,"16.67","400","24","16.67",464276,"4",1262,""
283,"3",test,recognition,deer_4,.png,"","6","400","700","","","",same,different,nonsense,new,"","",incongruent,animate,deer,"",700,42,"16.67","400","24","16.67",466226,"1",1262,""
266,"3",test,recognition,cow_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",congruent,animate,cow,"",700,42,"16.67","400","24","16.67",468245,"1",1331,""
316,"",test,"",1/10: Was the volume on your computer enabled throughout the entire first task?,word,"","","","","","","",Yes,No,"","","","","","","","","",42,"16.67","","","",482558,"1",6206,""
317,"",test,"",2/10: Did you adjust your volume at any time during the experiment?,word,"","","","","","","",Yes,No,"","","","","","","","","",0,0,"","","",486398,"2",3827,""
318,"",test,"",3/10: How would you describe the volume of the sounds during the first task?,word,"","","","","","","",Quiet,Loud,Just right,I did not hear sounds,"","","","","","","",0,0,"","","",492868,"2",6457,""
